# Frequncy nu in Hz, Model flux in nu F_nu in ergs / cm^2 / s
# nu                  sync                sync_radio          sync_wind           dust                ic_total            ic_sync             ic_dust             ic_cmb              
         1.00000e+07         4.27179e-13         4.27165e-13         1.44380e-17         1.43850e-25         1.00000e-33         1.00000e-33         1.00000e-33         1.00000e-33
         1.40492e+07         5.41791e-13         5.41769e-13         2.27179e-17         3.98900e-25         1.40492e-33         1.40492e-33         1.40492e-33         1.40492e-33
         1.97379e+07         6.88331e-13         6.88295e-13         3.57460e-17         1.10616e-24         1.97379e-33         1.97379e-33         1.97379e-33         1.97379e-33
         2.77302e+07         8.72771e-13         8.72715e-13         5.62453e-17         3.06738e-24         2.77302e-33         2.77302e-33         2.77302e-33         2.77302e-33
         3.89587e+07         1.10599e-12         1.10590e-12         8.85003e-17         8.50590e-24         3.89587e-33         3.89587e-33         3.89587e-33         3.89587e-33
         5.47337e+07         1.40405e-12         1.40391e-12         1.39252e-16         2.35869e-23         5.47337e-33         5.47337e-33         5.47337e-33         5.47337e-33
         7.68964e+07         1.78305e-12         1.78283e-12         2.19109e-16         6.54067e-23         7.68964e-33         7.68964e-33         7.68964e-33         7.68964e-33
         1.08033e+08         2.25842e-12         2.25808e-12         3.44758e-16         1.81373e-22         1.08033e-32         1.08033e-32         1.08033e-32         1.08033e-32
         1.51778e+08         2.86369e-12         2.86314e-12         5.42462e-16         5.02945e-22         1.51778e-32         1.51778e-32         1.51778e-32         1.51778e-32
         2.13235e+08         3.63751e-12         3.63666e-12         8.53535e-16         1.39465e-21         2.13235e-32         2.13235e-32         2.13235e-32         2.13235e-32
         2.99578e+08         4.61231e-12         4.61097e-12         1.34298e-15         3.86732e-21         2.99578e-32         2.99578e-32         2.99578e-32         2.99578e-32
         4.20883e+08         5.84288e-12         5.84076e-12         2.11309e-15         1.07239e-20         4.20883e-32         4.20883e-32         4.20883e-32         4.20883e-32
         5.91306e+08         7.41453e-12         7.41121e-12         3.32476e-15         2.97362e-20         5.91306e-32         5.91306e-32         5.91306e-32         5.91306e-32
         8.30736e+08         9.41360e-12         9.40837e-12         5.23115e-15         8.24543e-20         8.30736e-32         8.30736e-32         8.30736e-32         8.30736e-32
         1.16712e+09         1.19192e-11         1.19109e-11         8.23055e-15         2.28629e-19         1.16712e-31         1.16712e-31         1.16712e-31         1.16712e-31
         1.63970e+09         1.51037e-11         1.50907e-11         1.29495e-14         6.33919e-19         1.63970e-31         1.63970e-31         1.63970e-31         1.63970e-31
         2.30365e+09         1.91712e-11         1.91509e-11         2.03735e-14         1.75759e-18         2.30365e-31         2.30365e-31         2.30365e-31         2.30365e-31
         3.23644e+09         2.42938e-11         2.42618e-11         3.20529e-14         4.87271e-18         3.23644e-31         3.23644e-31         3.23644e-31         3.23644e-31
         4.54693e+09         3.07406e-11         3.06902e-11         5.04257e-14         1.35078e-17         4.54693e-31         4.54693e-31         4.54693e-31         4.54693e-31
         6.38806e+09         3.89548e-11         3.88755e-11         7.93263e-14         3.74406e-17         6.38806e-31         6.38806e-31         6.38806e-31         6.38806e-31
         8.97470e+09         4.93848e-11         4.92600e-11         1.24784e-13         1.03758e-16         8.97470e-31         8.97470e-31         8.97470e-31         8.97470e-31
         1.26087e+10         6.24114e-11         6.22152e-11         1.96277e-13         2.87469e-16         1.26087e-30         1.26087e-30         1.26087e-30         1.26087e-30
         1.77142e+10         7.88839e-11         7.85752e-11         3.08701e-13         7.96165e-16         1.77142e-30         1.77142e-30         1.77142e-30         1.77142e-30
         2.48870e+10         9.98218e-11         9.93364e-11         4.85466e-13         2.20392e-15         2.48870e-30         2.48870e-30         2.48870e-30         2.48870e-30
         3.49642e+10         1.26042e-10         1.25279e-10         7.63345e-13         6.09649e-15         3.49642e-30         3.49642e-30         3.49642e-30         3.49642e-30
         4.91219e+10         1.58733e-10         1.57533e-10         1.20005e-12         1.68473e-14         4.91219e-30         4.91219e-30         4.91219e-30         4.91219e-30
         6.90122e+10         1.99961e-10         1.98075e-10         1.88619e-12         4.64909e-14         6.90122e-30         6.90122e-30         6.90122e-30         6.90122e-30
         9.69566e+10         2.51718e-10         2.48754e-10         2.96380e-12         1.28040e-13         9.69566e-30         9.69566e-30         9.69566e-30         9.69566e-30
         1.36216e+11         3.15294e-10         3.10638e-10         4.65534e-12         3.51645e-13         1.36216e-29         1.36216e-29         1.36216e-29         1.36216e-29
         1.91372e+11         3.94042e-10         3.86733e-10         7.30910e-12         9.61930e-13         1.91372e-29         1.91372e-29         1.91372e-29         1.91372e-29
         2.68862e+11         4.91791e-10         4.80321e-10         1.14693e-11         2.61664e-12         2.68862e-29         2.68862e-29         2.68862e-29         2.68862e-29
         3.77730e+11         6.10499e-10         5.92515e-10         1.79842e-11         7.06115e-12         3.77730e-29         3.77730e-29         3.77730e-29         3.77730e-29
         5.30679e+11         7.52439e-10         7.24265e-10         2.81744e-11         1.88386e-11         5.30679e-29         5.30679e-29         5.30679e-29         5.30679e-29
         7.45561e+11         9.23013e-10         8.78922e-10         4.40915e-11         4.94412e-11         7.45561e-29         7.45561e-29         7.45561e-29         7.45561e-29
         1.04745e+12         1.12475e-09         1.05585e-09         6.88931e-11         1.26701e-10         1.04745e-28         1.04745e-28         1.04745e-28         1.04745e-28
         1.47158e+12         1.35254e-09         1.24508e-09         1.07458e-10         3.13542e-10         1.47158e-28         1.47158e-28         1.47158e-28         1.47158e-28
         2.06746e+12         1.60760e-09         1.44037e-09         1.67227e-10         7.36636e-10         2.06746e-28         2.06746e-28         2.06746e-28         2.06746e-28
         2.90461e+12         1.88838e-09         1.62895e-09         2.59429e-10         1.60021e-09         2.90461e-28         2.90461e-28         2.90461e-28         2.90461e-28
         4.08073e+12         2.18209e-09         1.78114e-09         4.00955e-10         3.08333e-09         4.08073e-28         4.08073e-28         4.08073e-28         4.08073e-28
         5.73310e+12         2.46706e-09         1.85032e-09         6.16738e-10         4.93671e-09         5.73310e-28         5.73310e-28         5.73310e-28         5.73310e-28
         8.05453e+12         2.76788e-09         1.82540e-09         9.42474e-10         5.94315e-09         8.05453e-28         8.05453e-28         8.05453e-28         8.05453e-28
         1.13160e+13         3.08225e-09         1.65401e-09         1.42824e-09         4.65087e-09         1.13160e-27         1.13160e-27         1.13160e-27         1.13160e-27
         1.58980e+13         3.48196e-09         1.33878e-09         2.14317e-09         1.93610e-09         1.58980e-27         1.58980e-27         1.58980e-27         1.58980e-27
         2.23354e+13         4.09269e-09         9.25638e-10         3.16705e-09         3.27404e-10         2.23354e-27         2.23354e-27         2.23354e-27         2.23354e-27
         3.13794e+13         5.11552e-09         5.16789e-10         4.59874e-09         1.55526e-11         3.13794e-27         3.13794e-27         3.13794e-27         3.13794e-27
