# lower limit contour line
# EBL: Franceschini et al. x 1.3
# B fields: ICM + IGMF
# See Meyer, Horns, Raue, 2013; Physical Review D, vol. 87, Issue 3, id. 035027 (2013)
# log10(ma / eV)       log10(gag / 10^-11 GeV^-1)
    -6.500    -10.012
    -6.512    -10.065
    -6.532    -10.129
    -6.558    -10.194
    -6.581    -10.258
    -6.597    -10.299
    -6.607    -10.323
    -6.679    -10.387
    -6.694    -10.408
    -6.751    -10.452
    -6.790    -10.512
    -6.795    -10.516
    -6.867    -10.581
    -6.887    -10.596
    -6.901    -10.581
    -6.968    -10.516
    -6.984    -10.507
    -7.081    -10.501
    -7.089    -10.516
    -7.116    -10.581
    -7.136    -10.645
    -7.151    -10.710
    -7.166    -10.774
    -7.177    -10.829
    -7.182    -10.839
    -7.214    -10.903
    -7.238    -10.968
    -7.268    -11.032
    -7.274    -11.043
    -7.282    -11.032
    -7.323    -10.968
    -7.340    -10.903
    -7.355    -10.839
    -7.359    -10.774
    -7.371    -10.737
    -7.447    -10.774
    -7.468    -10.782
    -7.536    -10.839
    -7.565    -10.869
    -7.621    -10.903
    -7.661    -10.956
    -7.674    -10.968
    -7.739    -11.032
    -7.758    -11.050
    -7.799    -11.097
    -7.855    -11.158
    -7.860    -11.161
    -7.952    -11.225
    -7.952    -11.226
    -8.048    -11.249
    -8.107    -11.226
    -8.145    -11.208
    -8.203    -11.161
    -8.242    -11.112
    -8.248    -11.097
    -8.259    -11.032
    -8.263    -10.968
    -8.265    -10.903
    -8.259    -10.839
    -8.253    -10.774
    -8.259    -10.710
    -8.289    -10.645
    -8.339    -10.599
    -8.435    -10.601
    -8.485    -10.645
    -8.530    -10.710
    -8.532    -10.715
    -8.535    -10.710
    -8.608    -10.645
    -8.629    -10.632
    -8.726    -10.608
    -8.823    -10.632
    -8.841    -10.645
    -8.919    -10.692
    -9.012    -10.710
    -9.016    -10.711
    -9.017    -10.710
    -9.082    -10.645
    -9.113    -10.613
    -9.140    -10.645
    -9.210    -10.706
    -9.306    -10.693
    -9.400    -10.645
    -9.403    -10.644
    -9.404    -10.645
    -9.424    -10.710
    -9.445    -10.774
    -9.466    -10.839
    -9.483    -10.903
    -9.497    -10.968
    -9.500    -10.974
